"","state","state_name","county","fips_code","total_hh","total_population","total_multi_gen","total_hispanic","total_black","total_asian","total_non_white","total_white","total_hispanic_multigen","total_black_multigen","total_asian_multigen","total_non_white_multigen","total_white_multigen","multi_gen_pct","hispanic_multigen_pct","black_multigen_pct","asian_multigen_pct","non_white_multigen","white_multigen"
"1","TX","Texas","Webb County","48479",77865,252088,28023,69894,482,607,71179,3610,26969,41,98,27204,819,0.359892120978617,0.385855724382637,0.0850622406639004,0.161449752883031,0.382191376670085,0.226869806094183
"2","NM","New Mexico","Cibola County","35006",9498.23,26365.825,3147.12,1516.69,76.61,139.355,7621.285,1306.6,401.145,1.645,0,2913.06,234.06,0.331337522885843,0.264487139758289,0.0214723926380368,0,0.382226881687275,0.179136690647482
"3","NM","New Mexico","McKinley County","35031",22027.81,61146.275,7298.64,3517.43,177.67,323.185,17674.895,3030.2,930.315,3.815,0,6755.82,542.82,0.331337522885843,0.264487139758289,0.0214723926380368,0,0.382226881687275,0.179136690647482
"4","TX","Texas","Hidalgo County","48215",248086,786077,80931,209836,960,3155,214646,23699,76607,200,678,77612,3319,0.326221552203671,0.365080348462609,0.208333333333333,0.214896988906498,0.361581394482077,0.140048103295498
"5","TX","Texas","Cameron County","48061",128102,387581,40865,105386,616,894,107120,17485,37810,111,247,38204,2661,0.319003606501069,0.358776308048507,0.180194805194805,0.276286353467562,0.356646751306946,0.152187589362311
"6","NY","New York","Richmond County","36085",173029,473846,52965,23865,16506,13149,55552,110692,7944,5500,6419,20520,32445,0.306104757006051,0.332872407291012,0.333212165273234,0.488174005627804,0.369383640552995,0.293110613233115
"7","CA","California","San Bernardino County","06071",691243,2016620,207388,270833,58532,49102,394937,241104,112345,17168,16373,150404,56984,0.300021844705841,0.414812818231161,0.293309642588669,0.333448739358886,0.380830360285311,0.236346141084345
"8","NY","New York","Queens County","36081",807140,2150427,241504,179650,136583,183001,527600,251361,63432,54134,66694,195450,46054,0.299209554724088,0.353086557194545,0.396345079548699,0.364446095922973,0.370451099317665,0.183218558169326
"9","CA","California","Imperial County","06025",54987,147305,16449,34878,952,916,37381,7449,14263,247,193,14901,1548,0.299143433902559,0.408939732782843,0.259453781512605,0.210698689956332,0.398624969904497,0.207813129279098
"10","NY","New York","Nassau County","36059",466271,1310212,137972,54877,46684,36609,145437,301515,24073,20264,13480,60422,77550,0.295905171027149,0.438671939063724,0.434067346414189,0.368215466142205,0.415451363820761,0.257201134271927
"11","NJ","New Jersey","Passaic County","34031",173870,470349,50289,56692,19235,7305,85028,80174,21847,6156,2594,31213,19076,0.289233335250475,0.385363014181895,0.320041590850013,0.355099247091034,0.367090840664252,0.237932496819418
"12","NY","New York","Bronx County","36005",547592,1359782,155824,238579,184825,15913,448533,55297,83412,54284,6316,146609,9215,0.284562228812693,0.349620041998667,0.293704855944813,0.396908188273738,0.326863352306296,0.166645568475686
