"","state_name","total_hh","total_population","total_multi_gen","total_hispanic","total_black","total_asian","total_non_white","total_white","total_hispanic_multigen","total_black_multigen","total_asian_multigen","total_non_white_multigen","total_white_multigen","multi_gen_pct","hispanic_multigen_pct","black_multigen_pct","asian_multigen_pct","non_white_multigen","white_multigen"
"1","Alabama",1985671,4511967,349558,51864,491318,22016,599794,1268100,9167,114042,3900,133172,216386,0.176040240301641,0.176750732685485,0.232114435050212,0.177143895348837,0.222029563483463,0.170637962305812
"2","Alaska",280438,693381,44789,13615,8031,13810,77365,175979,2591,1852,4236,19542,25247,0.159710880836406,0.190304810870364,0.230606400199228,0.306734250543085,0.252594842629096,0.143465981736457
"3","Arizona",2729389,6653427,486797,588559,108376,81121,898841,1672424,178785,23031,16634,251710,235087,0.178353836701181,0.30376733683454,0.212510149848675,0.205051712873362,0.280038405012677,0.140566626644918
"4","Arkansas",1242422,2882473,193295,59277,175265,16286,279109,878962,14733,35567,3446,58116,135179,0.155579183240477,0.248544966850549,0.202932701908538,0.211592779074051,0.208219727776603,0.153793906903825
"5","California",13865532,36807193,3304904,3765081,819793,1849570,6825588,6218682,1439454,208195,544489,2270639,1034265,0.23835392684536,0.382316874457681,0.253960450991897,0.294386803419173,0.332665698544946,0.166315788458069
"6","Colorado",2268651,5407994,322598,344424,82584,60499,541069,1607921,83051,16182,12266,118492,204106,0.142198160933524,0.241130118690916,0.195945945945946,0.202747152845502,0.218996098464336,0.126937828413212
"7","Connecticut",1483930,3417965,271061,167435,136031,53116,380616,990130,43679,36930,10706,96048,175013,0.182664276616822,0.260871382924717,0.27148223566687,0.201558852323217,0.252348824011602,0.176757597487199
"8","Delaware",388290,899686,70359,22763,75730,12282,117713,245609,5657,18508,2568,28500,41859,0.181202194236267,0.248517330756051,0.244394559619702,0.209086468001954,0.242114294937687,0.170429422374587
"9","District of Columbia",323506,613774,33592,22384,123271,11872,165652,118735,2781,26204,621,30252,3340,0.103837332228769,0.124240528949249,0.212572300054352,0.0523079514824798,0.182623813778282,0.0281298690360888
"10","Florida",8167921,18762162,1494614,1565353,1067763,180577,2945678,4790628,447920,289990,42691,806901,687713,0.182985854050253,0.286146319711912,0.27158648501587,0.236414382784076,0.273927089111573,0.143553830520758
